,HTML_ID,TAG_NAME,ATTRIBUTE_ID,ATTRIBUTE_NAME,ATTRIBUTE_CLASS,ATTRIBUTE_PLACEHOLDER,IN_FORM,TAG_DEPTH,TAG_STRING,LABEL,ATTRIBUTE_ARIALABELEDBY,ATTRIBUTE_ROLE,ATTRIBUTE_TYPE,ATTRIBUTE_VALUE,LOGIN_URL
0,1,section,None,None,['container'],None,FALSE,3,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
1,1,header,None,None,None,None,FALSE,4,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
2,1,section,None,None,['logo'],None,FALSE,5,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
3,1,a,None,None,['menu'],None,FALSE,6,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
4,1,span,None,None,None,None,FALSE,7,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
5,1,a,client_logo_public,client_logo_public,['logo-link'],None,FALSE,6,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
6,1,span,None,None,['card-logo'],None,FALSE,7,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
7,1,nav,None,None,None,None,FALSE,5,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
8,1,ul,None,None,"['primary', 'navxml']",None,FALSE,6,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
9,1,li,ac_home_nav,None,None,None,FALSE,7,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
10,1,a,ac_home_link,ac_home_link,None,None,FALSE,8,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
11,1,span,None,None,"['xIcon', 'xNavIcon', 'icon', 'ico', 'ac_home']",None,FALSE,9,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
12,1,span,None,None,['text'],None,FALSE,9,Home,0,None,None,None,None,https://d.comenity.net/victoriassecret/
13,1,li,ac_apply_nav,None,None,None,FALSE,7,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
14,1,a,ac_apply_link,ac_apply_link,None,None,FALSE,8,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
15,1,span,None,None,"['xIcon', 'xNavIcon', 'icon', 'ico', 'ac_apply']",None,FALSE,9,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
16,1,span,None,None,['text'],None,FALSE,9,Apply,0,None,None,None,None,https://d.comenity.net/victoriassecret/
17,1,li,ac_registration_nav,None,None,None,FALSE,7,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
18,1,a,ac_registration_link,ac_registration_link,None,None,FALSE,8,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
19,1,span,None,None,"['xIcon', 'xNavIcon', 'icon', 'ico', 'ac_registration']",None,FALSE,9,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
20,1,span,None,None,['text'],None,FALSE,9,Register for Access,0,None,None,None,None,https://d.comenity.net/victoriassecret/
21,1,li,ac_helpPublic_nav,None,None,None,FALSE,7,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
22,1,a,ac_helpPublic_link,ac_helpPublic_link,None,None,FALSE,8,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
23,1,span,None,None,"['xIcon', 'xNavIcon', 'icon', 'ico', 'ac_helpPublic']",None,FALSE,9,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
24,1,span,None,None,['text'],None,FALSE,9,Help,0,None,None,None,None,https://d.comenity.net/victoriassecret/
25,1,li,shopClient,None,['helper-links'],None,FALSE,7,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
26,1,a,shopClient_link,None,None,None,FALSE,8,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
27,1,span,None,None,['text'],None,FALSE,9,Shop Victoria's Secret,0,None,None,None,None,https://d.comenity.net/victoriassecret/
28,1,li,storeLocator,None,['helper-links'],None,FALSE,7,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
29,1,a,storeLocator_link,None,None,None,FALSE,8,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
30,1,span,None,None,['text'],None,FALSE,9,Find a store,0,None,None,None,None,https://d.comenity.net/victoriassecret/
31,1,li,None,None,['helper-links'],None,FALSE,7,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
32,1,a,signIn,signIn,None,None,FALSE,8,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
33,1,span,None,None,['text'],None,FALSE,9,Sign In,0,None,None,None,None,https://d.comenity.net/victoriassecret/
34,1,form,secureHomeSignOut,secureHomeSignOut,['hide'],None,FALSE,6,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
35,1,input,None,secureHomeSignOut,None,None,TRUE,7,,0,None,None,hidden,secureHomeSignOut,https://d.comenity.net/victoriassecret/
36,1,a,mvc_logOutAction,None,['logOutAction'],None,TRUE,7,,0,None,None,None,None,https://d.comenity.net/victoriassecret/
